source	line	kind	raw_target	resolved	status	note
canon/entities/people/marak_kllrian.md	1	fm:links	canon/eras/05_pax_ordica_790_860.md	canon/eras/05_pax_ordica_790_860.md	ERR-MISSING-FILE	
canon/entities/people/marak_kllrian.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/people/marak_kllrian.md	1	fm:links	canon/entities/factions/harbor_watches.md	canon/entities/factions/harbor_watches.md	OK	
canon/entities/people/marak_kllrian.md	1	fm:links	canon/entities/factions/convoy_insurance_office.md	canon/entities/factions/convoy_insurance_office.md	OK	
canon/entities/people/marak_kllrian.md	1	fm:links	canon/systems/law/marriage_and_vows_c700_1200.md	canon/systems/law/marriage_and_vows_c700_1200.md	OK	
canon/entities/people/maren_kllrian.md	1	fm:links	canon/notes/rolls/high_masters_golden_cadence.md	canon/notes/rolls/high_masters_golden_cadence.md	ERR-MISSING-FILE	
canon/entities/people/maren_kllrian.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/people/maren_kllrian.md	1	fm:links	canon/systems/transport/navigation_currents.md	canon/systems/transport/navigation_currents.md	OK	
canon/entities/people/marr_the_skin_grass.md	1	fm:links	canon/eras/04_marrite_747_783.md	canon/eras/04_marrite_747_783.md	ERR-MISSING-FILE	
canon/entities/people/marr_the_skin_grass.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/people/marr_the_skin_grass.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/people/nasha_of_tau_hi.md	1	fm:links	canon/entities/places/tau_hi.md	canon/entities/places/tau_hi.md	OK	
canon/entities/people/nasha_of_tau_hi.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/people/nasha_tau_hi_broker.md	1	fm:links	canon/notes/rolls/high_masters_golden_cadence.md	canon/notes/rolls/high_masters_golden_cadence.md	ERR-MISSING-FILE	
canon/entities/people/nasha_tau_hi_broker.md	1	fm:links	canon/entities/places/seven_fingers.md	canon/entities/places/seven_fingers.md	OK	
canon/entities/people/nasha_tau_hi_broker.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/people/nasir_of_salt_steps.md	1	fm:links	canon/entities/regions/ord_south_riverine_belt.md	canon/entities/regions/ord_south_riverine_belt.md	OK	
canon/entities/people/nasir_of_salt_steps.md	1	fm:links	canon/notes/snapshots/lexicon_drift_c0.md	canon/notes/snapshots/lexicon_drift_c0.md	ERR-MISSING-FILE	
canon/entities/people/nasir_of_salt_steps.md	1	fm:links	canon/systems/metrology/index.md	canon/systems/metrology/index.md	OK	
canon/entities/people/neris_zambrani.md	1	fm:links	canon/eras/05_pax_ordica_790_860.md	canon/eras/05_pax_ordica_790_860.md	ERR-MISSING-FILE	
canon/entities/people/neris_zambrani.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/people/neris_zambrani.md	1	fm:links	canon/entities/factions/beats/house_sixth_beat.md	canon/entities/factions/beats/house_sixth_beat.md	OK	
canon/entities/people/neris_zambrani.md	1	fm:links	canon/entities/factions/keeper_of_oboe_seal.md	canon/entities/factions/keeper_of_oboe_seal.md	OK	
canon/entities/people/neris_zambrani.md	1	fm:links	canon/systems/law/marriage_and_vows_c700_1200.md	canon/systems/law/marriage_and_vows_c700_1200.md	OK	
canon/entities/people/nerise_ward_placeholder.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/people/nerise_ward_placeholder.md	1	fm:links	canon/entities/factions/keeper_of_oboe_seal.md	canon/entities/factions/keeper_of_oboe_seal.md	OK	
canon/entities/people/nerise_ward_placeholder.md	1	fm:links	canon/notes/rolls/high_masters_golden_cadence.md	canon/notes/rolls/high_masters_golden_cadence.md	ERR-MISSING-FILE	
canon/entities/people/ordan_bel_builder.md	1	fm:links	canon/eras/05_golden_cadence_apex_860_1050.md	canon/eras/05_golden_cadence_apex_860_1050.md	OK	
canon/entities/people/ordan_bel_builder.md	1	fm:links	canon/entities/factions/dredge_and_bar_works.md	canon/entities/factions/dredge_and_bar_works.md	OK	
canon/entities/people/ordan_bel_builder.md	1	fm:links	canon/entities/factions/public_debt_office.md	canon/entities/factions/public_debt_office.md	OK	
canon/entities/people/ordan_bel_builder.md	1	fm:links	canon/entities/factions/grain_chancery.md	canon/entities/factions/grain_chancery.md	OK	
canon/entities/people/pumyaaton.md	1	fm:links	canon/entities/places/wurran.md	canon/entities/places/wurran.md	OK	
canon/entities/people/pumyaaton.md	1	fm:links	canon/entities/places/ord_city.md	canon/entities/places/ord_city.md	OK	
canon/entities/people/pumyaaton.md	1	fm:links	canon/entities/regions/kllrian_arc.md	canon/entities/regions/kllrian_arc.md	OK	
canon/entities/people/seli_fifth_stone.md	1	fm:links	canon/entities/factions/public_debt_office.md	canon/entities/factions/public_debt_office.md	OK	
canon/entities/people/seli_fifth_stone.md	1	fm:links	canon/entities/factions/grain_chancery.md	canon/entities/factions/grain_chancery.md	OK	
canon/entities/people/seli_fifth_stone.md	1	fm:links	canon/entities/factions/dredge_and_bar_works.md	canon/entities/factions/dredge_and_bar_works.md	OK	
canon/entities/people/seli_of_the_lotus_baths.md	1	fm:links	canon/systems/religions/rite_sar_sea_lotus.md	canon/systems/religions/rite_sar_sea_lotus.md	OK	
canon/entities/people/seli_of_the_lotus_baths.md	1	fm:links	canon/eras/09_pamphlet_wars_1400_1503.md	canon/eras/09_pamphlet_wars_1400_1503.md	OK	
canon/entities/people/seli_of_the_lotus_baths.md	1	fm:links	canon/systems/print/pamphlet_economy_c1400_1503.md	canon/systems/print/pamphlet_economy_c1400_1503.md	OK	
canon/entities/people/seli_of_the_lotus_baths.md	1	fm:links	canon/systems/commerce/mangrove_gardens_c1290_1400.md	canon/systems/commerce/mangrove_gardens_c1290_1400.md	OK	
